Y,ESTRAT,Edad,PuntMat
243,2,15,41
243,2,20,43
315,2,16,66
305,3,17,60
291,2,16,62
173,1,27,38
338,1,17,68
228,5,16,45
221,3,17,42
245,3,17,45
267,3,16,57
304,2,17,65
190,4,17,43
323,2,16,68
317,3,16,59
191,1,17,46
281,4,18,54
194,1,17,41
270,2,16,73
254,2,16,47
186,4,19,48
266,2,16,55
229,3,17,49
192,2,16,37
180,2,32,25
243,3,16,49
200,2,17,35
232,2,17,46
287,4,16,54
325,2,20,58
234,2,16,46
304,3,17,67
219,2,18,42
190,3,19,33
303,2,16,65
245,2,16,50
253,2,17,52
234,2,16,52
216,2,20,52
320,3,16,66
263,2,17,47
209,1,23,37
194,3,18,39
367,6,17,73
223,4,16,42
220,2,16,41
241,1,17,48
240,2,17,50
182,2,18,37
237,2,16,48
220,3,17,48
180,2,19,33
210,2,16,41
249,2,16,51
309,2,16,68
234,3,17,55
223,2,16,46
237,2,18,59
298,2,18,56
167,3,16,36
225,2,18,50
207,3,17,44
187,1,17,43
262,3,17,52
320,3,16,50
294,2,17,60
187,2,18,34
264,3,16,62
342,1,16,67
223,2,17,51
228,2,17,44
319,1,16,63
295,3,16,57
299,2,15,68
288,2,17,60
205,2,16,39
262,3,17,49
229,3,19,40
235,2,16,40
260,1,16,58
203,2,18,29
257,3,16,51
152,2,17,30
286,2,16,54
203,2,27,23
191,1,15,38
274,2,16,63
260,1,16,45
245,3,16,50
237,2,17,53
272,2,18,54
303,3,16,59
292,2,16,51
249,1,16,53
294,6,18,63
210,7,16,42
267,2,16,57
288,2,17,56
172,1,29,34
262,1,17,56
294,2,16,59
290,4,16,62
228,2,16,44
248,1,17,50
187,2,17,34
255,2,18,53
157,2,16,28
179,7,17,31
236,2,26,53
181,3,18,30
241,2,16,50
294,1,17,64
294,2,16,60
259,2,16,50
302,3,18,57
281,2,16,55
242,2,18,57
247,1,17,46
238,3,16,48
209,2,16,53
258,7,17,52
180,3,16,33
225,2,18,46
268,1,17,62
189,1,16,34
283,3,17,55
350,1,16,72
186,4,19,31
206,3,19,45
275,2,15,51
260,2,16,52
182,2,16,35
237,2,16,45
194,2,16,39
241,1,18,53
197,1,16,42
210,1,17,46
276,1,16,65
253,6,17,44
192,3,19,44
205,2,18,42
226,2,16,34
320,1,17,62
317,2,16,65
333,2,15,64
291,3,16,57
231,3,21,52
195,2,17,37
289,3,17,57
277,6,17,33
206,2,16,45
162,2,17,35
223,3,18,44
240,1,17,54
342,3,16,72
190,1,19,37
150,7,19,23
311,1,19,65
251,2,17,57
207,3,18,38
199,2,42,25
282,4,16,61
191,2,21,42
276,2,15,58
212,2,17,51
250,2,17,50
308,6,16,64
252,2,16,55
275,2,16,59
214,2,16,46
330,5,17,72
238,3,19,35
283,1,16,56
210,3,32,37
217,2,16,47
320,3,17,55
328,3,17,69
227,2,18,40
214,7,16,43
375,5,17,79
190,2,18,29
356,3,17,72
228,2,16,43
250,2,17,42
229,4,16,50
202,2,19,42
290,2,15,59
224,2,16,50
266,2,17,47
350,2,15,69
255,2,16,49
269,2,16,56
213,2,17,41
212,1,17,39
388,7,16,79
303,3,17,56
253,3,17,48
210,2,17,39
181,2,13,33
243,3,16,44
322,3,18,56
237,1,19,46
175,2,18,37
202,1,17,46
400,4,17,100
260,3,17,58
244,2,18,52
227,2,16,44
249,7,16,50
320,2,16,64
262,2,16,61
355,2,16,67
318,3,16,61
375,4,16,76
325,1,17,66
255,2,18,50
192,1,19,43
219,2,16,40
240,1,17,59
240,3,17,48
185,3,17,33
268,2,16,65
187,2,18,36
211,2,16,42
279,3,16,64
244,3,16,49
243,2,17,42
194,7,17,29
168,7,18,36
217,3,19,43
261,2,18,53
368,6,16,72
220,3,17,57
211,3,17,32
388,2,16,81
190,7,17,42
272,2,16,63
247,1,17,45
182,3,17,31
211,1,28,43
187,2,16,45
173,1,16,28
250,1,16,60
215,2,17,42
169,1,20,32
341,2,19,66
228,1,19,38
235,1,16,44
257,2,16,45
210,3,17,43
278,2,16,58
223,1,17,39
270,1,16,52
257,3,17,54
326,3,16,58
257,3,16,51
269,2,18,54
160,4,16,21
208,2,17,40
281,3,17,57
292,2,16,60
333,3,16,65
174,2,16,34
200,1,16,38
305,5,16,68
189,3,19,24
262,2,16,61
354,4,16,79
286,3,16,48
219,2,16,42
263,2,17,53
258,2,17,56
243,2,16,46
265,3,16,54
263,3,16,64
199,2,16,33
330,3,17,61
221,3,19,52
242,2,16,60
327,3,16,63
203,1,16,40
197,3,18,33
263,2,16,54
283,5,17,55
359,3,17,67
270,2,16,41
313,3,17,76
230,3,19,49
330,3,17,64
234,2,16,56
208,2,17,45
209,2,17,54
366,3,16,79
316,2,16,60
356,4,18,77
252,2,17,42
216,4,17,43
273,2,19,52
214,3,17,45
231,1,39,36
262,2,16,52
163,3,17,27
260,2,16,52
201,3,16,43
222,3,17,40
259,2,18,61
217,3,17,49
293,3,18,55
164,2,20,32
181,3,17,28
189,4,17,37
272,2,16,52
300,5,17,61
203,3,16,46
180,1,16,36
327,3,16,72
225,2,19,43
205,1,17,46
157,1,23,22
222,1,16,43
271,2,16,56
329,3,16,68
175,7,21,39
176,1,23,40
192,2,16,38
335,2,16,69
381,5,18,77
212,3,18,48
192,4,17,34
378,3,16,78
242,1,17,53
166,2,30,26
249,1,17,59
217,1,17,46
221,2,16,43
196,2,18,31
213,3,17,40
238,2,18,49
243,1,16,54
226,1,16,44
239,3,7,37
230,1,17,50
300,2,16,62
325,2,16,65
298,2,18,56
304,6,16,58
250,3,16,45
200,2,19,41
231,2,17,47
209,7,17,51
246,4,17,48
183,3,17,32
215,2,18,38
297,2,16,64
207,3,15,43
261,5,16,61
195,2,18,34
273,2,16,58
339,3,16,67
370,1,17,75
182,1,19,36
169,7,18,32
262,3,19,55
189,4,17,39
217,3,16,54
169,2,17,34
220,3,16,42
288,3,17,60
259,2,16,53
275,3,18,54
255,3,17,59
215,1,16,51
189,5,17,29
333,4,17,72
268,6,17,53
193,1,16,41
285,3,16,48
298,3,15,70
218,2,20,38
217,2,17,42
253,3,17,57
217,1,17,55
207,3,17,37
191,1,18,32
334,5,16,71
206,7,18,40
252,3,18,53
303,3,15,68
277,1,15,57
268,2,17,53
298,3,17,63
311,2,16,59
250,2,32,49
365,3,16,73
213,3,17,49
319,2,16,67
261,2,16,54
226,2,18,43
184,2,17,36
239,1,16,37
220,2,41,45
293,3,16,54
250,3,18,52
287,2,17,60
274,2,16,50
262,3,16,49
311,2,16,68
262,1,18,48
198,2,16,26
278,4,17,62
204,1,16,41
275,2,22,57
236,3,18,52
180,1,18,37
282,2,15,59
231,2,17,44
288,2,18,64
272,2,16,59
246,1,17,46
191,4,17,35
186,1,16,38
260,2,17,52
186,3,17,29
320,3,16,56
247,3,17,58
275,2,16,57
311,3,17,67
213,2,20,42
272,3,17,68
332,3,16,71
308,3,18,56
223,2,18,24
338,3,16,60
348,5,17,79
310,3,17,58
239,3,18,48
183,1,18,27
232,3,16,49
238,4,18,57
325,3,16,66
200,2,19,44
195,3,17,36
364,3,17,77
227,5,16,48
223,1,17,53
302,2,16,59
193,2,21,41
245,2,16,49
358,4,17,75
229,2,17,49
254,3,18,47
235,2,19,50
178,3,22,23
317,5,16,61
290,2,17,60
226,1,18,46
240,2,19,57
301,2,16,62
310,2,18,58
183,1,18,35
265,1,15,61
162,2,16,30
250,2,18,44
218,4,17,45
281,2,16,48
203,1,17,41
292,2,17,69
213,1,17,35
373,2,18,77
253,3,17,50
266,1,17,55
268,2,18,55
324,4,16,72
304,3,16,63
313,3,17,69
260,4,16,63
221,2,18,45
305,3,16,58
217,3,16,51
254,3,16,54
227,3,18,38
221,2,18,59
271,2,16,55
221,3,18,47
169,7,17,35
262,2,16,56
332,3,16,72
266,1,16,63
306,7,16,63
217,1,16,45
220,1,18,37
248,1,18,52
293,1,17,66
199,3,17,42
299,3,18,63
215,2,17,44
255,3,20,48
212,2,16,40
254,7,17,50
226,1,18,49
235,3,17,48
232,2,17,55
258,3,17,55
163,3,17,25
203,2,17,37
187,1,16,30
288,5,16,58
280,1,16,53
227,2,20,44
253,3,17,43
237,1,16,53
220,3,17,44
246,2,17,42
276,3,18,45
256,1,19,50
209,5,30,42
242,2,17,51
277,5,17,59
281,2,17,63
309,2,16,61
253,1,16,54
309,4,16,62
305,3,17,64
257,3,16,42
276,3,16,58
175,2,18,28
170,3,20,29
220,3,17,41
186,2,16,37
261,1,18,54
253,2,16,61
208,2,17,41
237,3,16,49
237,1,18,50
200,7,16,37
250,2,17,52
253,2,16,59
213,1,16,49
367,3,16,73
260,5,17,56
273,1,16,57
272,3,18,53
271,3,16,47
203,2,32,36
249,3,20,55
229,2,17,47
161,2,18,33
234,2,16,45
230,3,17,47
377,3,17,72
230,3,15,48
255,2,17,44
228,2,18,45
207,3,18,51
200,2,17,32
173,4,17,35
249,3,19,45
293,3,16,51
223,1,20,56
189,2,17,35
192,1,18,35
287,1,16,54
339,3,17,62
196,2,17,47
202,3,17,39
287,3,18,57
276,2,17,52
315,3,16,70
201,2,17,48
270,1,17,53
350,2,16,80
193,1,17,40
270,1,16,57
343,5,17,66
323,2,16,66
201,3,18,44
320,2,17,64
243,1,18,54
316,3,16,67
221,2,23,37
226,3,16,38
274,2,17,56
301,3,16,70
174,3,18,35
245,3,26,44
233,2,17,50
247,2,17,49
181,2,17,29
241,2,16,48
228,3,16,45
301,3,17,63
342,5,18,72
258,2,16,63
279,3,17,51
263,4,16,52
329,3,16,62
216,2,17,38
173,1,16,28
250,4,16,59
232,3,18,45
328,3,16,69
253,3,16,52
225,2,16,40
262,2,16,50
295,3,18,49
202,1,16,34
254,3,16,53
293,3,15,66
250,2,17,56
246,3,16,55
194,2,16,34
309,3,18,58
188,3,15,37
261,3,18,53
201,2,18,36
266,1,16,48
213,2,16,43
188,7,16,37
213,3,18,39
244,5,16,60
228,2,17,52
238,2,18,56
260,3,25,63
302,1,19,65
226,2,17,47
300,2,16,62
245,3,16,47
187,3,17,30
280,2,16,55
192,3,18,38
183,2,20,33
304,3,16,60
230,3,17,55
188,2,16,42
179,3,17,24
253,1,15,47
225,3,16,39
280,1,16,59
252,3,16,57
279,3,16,62
241,2,16,46
195,2,17,40
294,2,17,71
189,2,18,41
260,7,17,54
176,2,17,35
283,3,19,57
260,2,16,54
270,3,16,53
168,1,17,29
184,4,16,40
233,2,18,43
211,2,18,35
293,2,17,68
285,2,17,58
213,2,17,41
166,2,35,28
273,3,17,41
298,2,18,59
320,3,16,68
283,3,17,59
231,2,18,54
293,3,16,58
184,2,19,28
271,2,16,56
332,2,17,74
193,3,19,22
282,2,17,49
285,2,17,61
332,3,17,64
323,1,16,67
174,2,16,37
218,2,16,52
298,3,18,62
218,2,17,48
300,2,16,63
286,2,16,59
228,3,17,51
300,3,16,55
317,3,16,66
227,2,17,51
166,1,18,28
242,1,17,42
263,2,16,46
277,2,16,55
268,2,16,45
261,2,18,55
315,3,16,65
184,3,18,32
180,2,17,41
298,2,16,66
263,3,16,53
213,2,16,21
185,3,18,45
194,2,16,36
167,1,22,32
285,2,16,60
220,3,16,36
242,2,16,57
302,2,16,64
238,2,17,48
302,3,17,62
197,4,18,37
262,2,17,54
326,3,19,71
248,2,16,56
275,3,16,54
322,3,17,68
178,3,16,44
296,2,16,63
227,2,24,42
232,1,18,52
250,1,16,43
200,1,19,36
258,2,18,49
211,2,16,49
343,4,17,70
307,1,18,64
324,3,16,65
328,3,16,64
201,2,16,34
166,1,18,31
181,7,15,29
293,2,16,54
216,2,17,41
313,2,16,65
304,2,15,60
200,2,17,36
240,4,16,45
267,3,16,50
254,1,19,50
255,2,17,54
190,1,16,31
341,2,15,70
298,3,16,65
223,2,19,43
258,2,19,43
191,4,18,45
333,3,18,65
275,3,18,55
188,1,18,40
328,3,16,63
248,2,17,56
333,4,16,63
273,1,17,57
308,2,16,59
215,2,17,42
207,2,17,38
239,2,17,52
