"","DIRECTORIO","SECUENCIA_P","ORDEN.x","CAR","SEC","CONS","REC","I_HOGAR"
"1","7910114","1","1",1,1,1,1,2979593.10805425
"2","7910115","1","1",1,0,1,0,1891851.63404793
"3","7910119","1","1",1,0,1,1,1372883.91292095
"4","7910120","1","1",1,0,1,1,1288337.56882697
"5","7910121","1","1",1,0,1,1,1608498.87868389
"6","7910122","1","1",1,0,1,0,2617299.18351397
"7","7910123","1","1",1,0,1,1,1785714.72920477
"8","7910125","1","1",0,1,1,0,2948595.00121325
"9","7910126","1","1",1,0,1,1,1465174.09157008
"10","7910127","1","1",1,1,1,1,2004750.74503571
"11","7910129","1","1",1,0,1,1,1476016.46130905
"12","7910130","1","1",1,0,1,1,1585917.86731035
"13","7910131","1","1",1,1,1,1,2581973.98019955
"14","7910132","1","1",1,0,1,1,1337194.83666122
"15","7910133","1","1",1,0,1,1,1994343.89697388
"16","7910135","1","1",1,1,1,1,1315849.31179881
"17","7910136","1","1",1,1,1,1,2191625.19538775
"18","7910137","1","1",1,1,1,1,1176016.46386087
"19","7910138","1","1",1,0,1,0,2973756.24688342
"20","7910139","1","1",1,1,1,1,1742516.0395354
"21","7910140","1","1",1,0,1,1,2336586.05312929
"22","7910141","1","1",1,0,1,1,1703210.75310931
"23","7910143","1","1",1,0,1,1,2993934.79673192
"24","7910144","1","1",1,1,1,0,2827079.22928035
"25","7910145","1","1",1,0,1,1,2979280.02506495
"26","7910146","1","1",1,0,1,1,1280788.16056252
"27","7910147","1","1",1,1,1,1,2313751.3156049
"28","7910148","1","1",1,0,1,1,2062474.07518327
"29","7910149","1","1",1,0,1,1,2946684.9197261
"30","7910150","1","1",1,1,1,1,1826486.35942489
"31","7910151","1","1",1,0,1,1,2411187.96845898
"32","7910152","1","1",1,0,1,1,1645244.67177689
"33","7910154","1","1",0,0,0,1,1501714.24092725
"34","7910155","1","1",0,0,1,1,1500663.52780908
"35","7910157","1","1",0,1,1,0,1857906.01368994
"36","7910158","1","1",1,0,1,1,2718524.88147095
"37","7910159","1","1",1,0,1,1,2076460.08551121
"38","7910160","1","1",1,0,1,1,2614677.45529488
"39","7910161","1","1",1,0,1,1,2702773.52442965
"40","7910163","1","1",0,1,1,1,2000703.11134681
"41","7910164","1","1",1,0,0,1,2631035.49901396
"42","7910166","1","1",1,1,1,1,1862775.23269877
"43","7910167","1","1",1,0,1,0,2557850.26594996
"44","7910168","1","1",0,0,1,0,1963667.10798815
"45","7910169","1","1",1,1,1,1,2823760.60614362
"46","7910170","1","1",1,0,1,1,1747944.24152002
"47","7910171","1","1",1,0,1,1,1311927.13065073
"48","7910172","1","1",1,0,1,1,2661971.90605104
"49","7910173","1","1",1,1,1,1,2813196.24602795
"50","7910174","1","1",1,1,1,1,2938353.3718437
"51","7910175","1","1",1,0,1,1,2214446.74478844
"52","7910176","1","1",1,0,0,1,2484946.27356529
"53","7910177","1","1",1,1,0,1,2584267.86847413
"54","7910178","1","1",0,0,1,0,2315079.87298071
"55","7910179","1","1",1,0,1,1,2490300.38831756
"56","7910180","1","1",0,0,1,1,1871769.55319941
"57","7910181","1","1",0,0,1,1,1459535.03126279
"58","7910182","1","1",0,0,1,0,1504500.04141778
"59","7910183","1","1",1,0,1,1,1879899.03241396
"60","7910184","1","1",0,0,0,0,1663978.22584957
"61","7910186","1","1",1,0,1,1,1513128.65667045
"62","7910187","1","1",1,0,1,1,2088080.92383668
"63","7910188","1","1",0,1,0,1,2565466.2565887
"64","7910189","1","1",1,1,1,1,2436350.72212666
"65","7910190","1","1",1,0,1,1,2161059.70647186
"66","7910191","1","1",1,1,1,1,2372720.49631923
"67","7910192","1","1",1,0,1,1,2022460.21928266
"68","7910193","1","1",1,0,1,1,2046522.1917443
"69","7910196","1","1",0,0,1,1,1780197.02114165
"70","7910197","1","1",1,0,1,1,1941128.39508802
"71","7910198","1","1",1,0,1,1,1688107.84099624
"72","7910199","1","1",1,0,1,1,2266192.4190633
"73","7910200","1","1",1,0,1,0,2706965.88046849
"74","7910201","1","1",1,0,1,1,2302340.16776085
"75","7910203","1","1",1,0,1,1,1407574.97929037
"76","7910204","1","1",1,0,1,1,2204609.27031934
"77","7910205","1","1",1,0,1,1,1975904.44911271
"78","7910206","1","1",1,0,1,1,1965874.77779016
"79","7910207","1","1",1,0,1,1,2307455.7078816
