"","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN.x","ING","REC","CAR","SEC","I_HOGAR"
"1","7787900","1","1","1",1,1,0,1,1360000
"2","7787901","1","1","1",1,0,0,1,1950000
"3","7787903","1","1","1",1,0,0,0,13050000
"4","7787906","1","1","1",3,0,0,0,6300000
"5","7787907","1","1","1",3,0,0,1,870000
"6","7787908","1","1","1",1,0,0,1,2717500
"7","7787909","1","1","1",2,0,0,1,4627000
"8","7787911","1","1","1",2,1,1,1,5e+06
"9","7787912","1","1","1",2,0,0,1,3187500
"10","7787913","1","1","1",2,0,0,0,1500000
"11","7787914","1","1","1",2,0,0,1,2500000
"12","7787915","1","1","1",2,0,0,1,4341666.6667
"13","7787916","1","1","1",2,0,0,1,3466666.6667
"14","7787917","1","1","1",2,0,0,1,1407500
"15","7787918","1","1","1",1,0,0,1,1610000
"16","7787919","1","1","1",2,0,1,1,6030000
"17","7787920","1","1","1",2,0,0,1,4937500
"18","7787921","1","1","1",1,0,0,0,1112500
"19","7787924","1","1","1",1,1,1,0,2516666.6667
"20","7787925","1","1","1",2,0,0,0,1e+06
"21","7787927","1","1","1",2,0,0,1,80000
"22","7787928","1","1","1",1,0,0,0,2075000
"23","7787929","1","1","1",3,0,0,1,4916666.6667
"24","7787930","1","1","1",2,0,0,1,1600000
"25","7787931","1","1","1",2,0,0,0,550000
"26","7787932","1","1","1",2,0,0,1,860000
"27","7787933","1","1","1",2,0,0,1,1e+06
"28","7787934","1","1","1",2,0,0,1,120833.33333
"29","7787935","1","1","1",2,0,0,1,950000
"30","7787936","1","1","1",2,0,0,1,1701666.6667
"31","7787937","1","1","1",2,0,0,0,238333.33333
"32","7787938","1","1","1",1,0,0,0,966666.66667
"33","7787939","1","1","1",1,1,0,0,1440000
"34","7787940","1","1","1",1,0,0,0,1850000
"35","7787941","1","1","1",2,0,0,1,1878000
"36","7787942","1","1","1",1,0,0,0,420833.33333
"37","7787943","1","1","1",2,0,0,1,1158778.6667
"38","7787944","1","1","1",1,0,0,1,313333.33333
"39","7787945","1","1","1",1,0,0,0,758333.33333
"40","7787947","1","1","1",3,0,0,0,3800000
"41","7787948","1","1","1",2,0,1,0,3100000
"42","7787949","1","1","1",1,1,0,1,1931733.3333
"43","7787950","1","1","1",1,0,0,1,1467833.3333
"44","7787951","1","1","1",2,0,0,1,308333.33333
"45","7787952","1","1","1",1,0,0,1,1e+06
"46","7787953","1","1","1",1,1,0,1,1478166.6667
"47","7787954","1","1","1",2,0,0,1,1961666.6667
"48","7787957","1","1","1",2,0,0,1,4006833.3333
"49","7787958","1","1","1",2,0,0,1,1518500
"50","7787959","1","1","1",1,0,0,0,856666.66667
"51","7787961","1","1","1",1,0,0,0,210000
"52","7787962","1","1","1",2,0,0,1,260000
"53","7787965","1","1","1",2,0,0,1,1e+06
"54","7787966","1","1","1",1,0,0,1,250000
"55","7787968","1","1","1",1,0,0,0,2866666.6667
"56","7787969","1","1","1",1,0,0,0,1480000
"57","7787970","1","1","1",2,0,0,0,1384000
"58","7787971","1","1","1",2,0,0,1,570000
"59","7787973","1","1","1",2,0,0,0,1085000
"60","7787975","1","1","1",2,0,1,0,3200000
"61","7787976","1","1","1",1,0,0,0,1291666.6667
"62","7787977","1","1","1",1,0,0,1,733333.33333
"63","7787979","1","1","1",2,0,0,0,416666.66667
"64","7787981","1","1","1",1,0,0,0,780000
"65","7787982","1","1","1",2,0,0,0,2970833.3333
"66","7787983","1","1","1",2,0,0,0,20108333.333
"67","7787985","1","1","1",2,0,0,0,1271166.6667
"68","7787987","1","1","1",2,0,0,0,1100000
"69","7787988","1","1","1",3,0,0,0,10823838.667
"70","7787990","1","1","1",2,1,1,1,5e+05
"71","7787992","1","1","1",1,1,0,1,2044000
"72","7787993","1","1","1",3,0,0,0,6400000
"73","7787996","1","1","1",1,0,0,1,166666.66667
"74","7787997","1","1","1",1,0,0,1,590000
"75","7787998","1","1","1",1,0,0,1,888333.33333
"76","7787999","1","1","1",1,0,0,1,3680000
"77","7788000","1","1","1",1,0,0,0,2800333.3333
"78","7788001","1","1","1",2,0,0,0,1225505.3333
"79","7788002","1","1","1",2,0,0,0,2440000
"80","7788003","1","1","1",2,0,0,1,3250333.3333
"81","7788004","1","1","1",1,0,0,1,410000
"82","7788005","1","1","1",1,0,1,0,3250000
"83","7788007","1","1","1",1,0,0,0,841666.66667
"84","7788008","1","1","1",2,0,0,1,1e+06
"85","7788009","1","1","1",1,0,0,0,1965000
"86","7788010","1","1","1",1,0,0,1,383333.33333
"87","7788011","1","1","1",2,0,0,0,1833333.3333
"88","7788013","1","1","1",1,0,0,0,910000
"89","7788015","1","1","1",2,0,0,0,1561083.3333
"90","7788017","1","1","1",2,1,0,1,1100000
"91","7788018","1","1","1",2,0,0,1,9e+05
"92","7788019","1","1","1",1,0,0,0,236666.66667
"93","7788020","1","1","1",1,0,0,1,1042500
"94","7788021","1","1","1",2,0,0,1,341666.66667
"95","7788024","1","1","1",1,0,0,1,3117000
"96","7788026","1","1","1",2,0,0,0,1867500
"97","7788027","1","1","1",1,0,0,1,1907200
"98","7788029","1","1","1",2,0,0,0,2275666.6667
"99","7788030","1","1","1",1,0,0,1,590416.66667
"100","7788033","1","1","1",3,1,1,1,4041666.6667
"101","7788035","1","1","1",2,0,0,0,627500
"102","7788039","1","1","1",2,0,0,0,1e+06
"103","7788040","1","1","1",2,0,0,0,210000
"104","7788041","1","1","1",1,0,0,0,5280130.4167
"105","7788045","1","1","1",1,0,0,1,888333.33333
"106","7788046","1","1","1",1,1,0,0,1380166.6667
"107","7788048","1","1","1",2,0,0,0,3200000
"108","7788049","1","1","1",1,0,0,1,650000
"109","7788050","1","1","1",2,0,0,0,6180000
"110","7788051","1","1","1",1,0,1,1,1850000
"111","7788052","1","1","1",1,0,0,1,263333.33333
"112","7788054","1","1","1",2,0,0,0,1225000
"113","7788058","1","1","1",1,0,0,1,3e+05
"114","7788061","1","1","1",1,0,0,1,709166.66667
"115","7788062","1","1","1",2,0,1,0,2685000
"116","7788063","1","1","1",2,0,0,1,926666.66667
"117","7788064","1","1","1",2,0,1,1,6221666.6667
"118","7788065","1","1","1",1,0,0,0,2057000
"119","7788066","1","1","1",1,1,0,1,780000
"120","7788067","1","1","1",1,0,0,0,3433333.3333
"121","7788068","1","1","1",2,0,0,1,666666.66667
"122","7788069","1","1","1",3,0,1,1,7462500
"123","7788070","1","1","1",1,0,0,0,5221666.6667
"124","7788071","1","1","1",2,0,0,0,1200000
"125","7788072","1","1","1",1,0,0,0,1121666.6667
"126","7788073","1","1","1",2,0,0,0,1100000
"127","7788074","1","1","1",1,0,0,0,1075000
"128","7788075","1","1","1",1,0,0,1,1329216.6667
"129","7788076","1","1","1",2,0,0,1,1940833.3333
"130","7788077","1","1","1",3,0,0,1,3450000
"131","7788080","1","1","1",2,0,0,1,1117000
"132","7788081","1","1","1",1,1,0,1,1050000
"133","7788082","1","1","1",2,0,0,1,6691666.6667
"134","7788083","1","1","1",1,0,0,1,3875833.3333
"135","7788084","1","1","1",1,1,0,0,6342833.3333
"136","7788085","1","1","1",3,0,0,1,1180000
"137","7788086","1","1","1",1,0,0,1,9e+05
"138","7788087","1","1","1",2,0,0,1,1500000
"139","7788088","1","1","1",2,1,0,1,2766666.6667
"140","7788089","1","1","1",2,0,0,1,3311416.6667
"141","7788091","1","1","1",2,0,0,0,2721666.6667
"142","7788092","1","1","1",1,0,0,1,3708333.3333
"143","7788093","1","1","1",1,0,0,0,525000
"144","7788094","1","1","1",2,0,0,0,5291666.6667
"145","7788095","1","1","1",3,0,0,1,1340000
"146","7788097","1","1","1",1,0,0,0,1260833.3333
"147","7788099","1","1","1",3,0,0,1,2533333.3333
"148","7788100","1","1","1",2,0,0,0,1380000
"149","7788101","1","1","1",1,0,0,0,1533333.3333
"150","7788102","1","1","1",2,0,0,0,2740333.3333
"151","7788103","1","1","1",2,1,0,1,1700000
"152","7788104","1","1","1",2,0,0,1,2400000
"153","7788105","1","1","1",1,1,0,1,1985000
"154","7788106","1","1","1",1,0,0,0,2000833.3333
"155","7788107","1","1","1",2,0,0,0,2255212
"156","7788109","1","1","1",2,0,0,1,1e+06
"157","7788111","1","1","1",1,0,0,0,1800000
"158","7788112","1","1","1",1,0,0,1,4100000
"159","7788115","1","1","1",1,0,0,0,4037750
"160","7788117","1","1","1",3,0,0,1,1180000
"161","7788118","1","1","1",2,0,0,0,4e+06
"162","7788119","1","1","1",1,1,0,1,1578666.6667
"163","7788120","1","1","1",1,0,0,1,1080000
"164","7788122","1","1","1",2,0,0,1,1310000
"165","7788123","1","1","1",2,0,1,1,2e+06
"166","7788124","1","1","1",2,0,1,1,6020000
"167","7788126","1","1","1",1,0,0,1,1103333.3333
"168","7788127","1","1","1",1,0,0,1,1158666.6667
"169","7788130","1","1","1",2,0,0,1,2407000
"170","7788131","1","1","1",2,0,0,1,1e+06
"171","7788132","1","1","1",1,0,0,1,1270000
"172","7788133","1","1","1",2,0,0,1,1460000
"173","7788135","1","1","1",2,1,0,1,1500000
"174","7788136","1","1","1",2,1,0,1,1708333.3333
"175","7788138","1","1","1",2,0,0,1,9e+05
"176","7788139","1","1","1",1,0,0,1,654166.66667
"177","7788140","1","1","1",2,0,0,1,5e+05
"178","7788141","1","1","1",2,0,0,1,886666.66667
"179","7788142","1","1","1",1,0,0,1,1615000
"180","7788144","1","1","1",2,0,0,1,1566666.6667
"181","7788146","1","1","1",1,0,0,1,120000
"182","7788147","1","1","1",2,1,0,0,1e+06
"183","7788150","1","1","1",2,0,1,1,7833333.3333
"184","7788151","1","1","1",2,0,0,1,2e+06
"185","7788152","1","1","1",2,0,0,1,510000
"186","7788155","1","1","1",1,0,0,1,1188333.3333
"187","7788156","1","1","1",2,0,0,1,1521666.6667
"188","7788157","1","1","1",1,0,0,1,1733333.3333
"189","7788159","1","1","1",3,0,0,0,7056666.6667
"190","7788160","1","1","1",1,0,0,0,3490000
"191","7788161","1","1","1",2,0,0,1,1500000
"192","7788162","1","1","1",1,0,0,1,480000
