DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN.x,ING,REC,CAR,SEC,I_HOGAR
7903055,1,1,1,1,0,0,0,600000
7883959,1,1,1,1,0,0,0,2650000
7876797,1,1,1,1,0,0,1,1160000
7863707,1,1,1,1,0,0,1,800000
7856483,1,1,1,1,0,0,0,1300000
7820823,1,1,1,1,0,0,1,600000
7893028,1,1,1,1,0,0,1,705000
7862300,1,1,1,1,0,0,1,1450000
7898570,1,1,1,1,0,0,1,1000000
7878910,1,1,1,1,0,0,1,70833.333333
7804464,1,1,1,1,0,0,1,20635000
7816252,1,1,1,1,0,0,1,2303333.3333
7906763,1,1,1,1,1,1,1,17941666.667
7814299,1,1,1,1,0,0,1,300000
7870218,1,1,1,1,0,0,1,1094833.3333
7897955,1,1,1,1,0,0,1,900000
7867302,1,1,1,1,0,0,1,760000
7829298,1,1,1,1,0,0,1,200000
7829865,1,1,1,1,0,0,1,470000
7818545,1,1,1,1,0,0,1,1850000
7789509,1,1,1,1,0,0,1,1383333.3333
7808341,1,1,1,1,0,0,1,1000000
7879451,1,1,1,1,0,0,1,800000
7902234,1,1,1,1,0,0,1,1545172
7867062,1,1,1,1,0,0,1,2900000
7814889,1,1,1,1,0,0,1,770000
7861606,1,1,1,1,0,0,1,800000
7895197,1,1,1,1,0,0,1,1810000
7901677,1,1,1,1,0,0,1,1765000
7904687,1,1,1,1,0,0,1,400000
7816316,1,1,1,1,0,0,0,1835000
7865819,1,1,1,1,0,0,1,1120000
7823202,1,1,1,1,0,0,0,1434166.6667
7842028,1,1,1,1,0,0,0,458333.33333
7815519,1,1,1,1,0,0,1,1600000
7789504,1,1,1,1,0,0,1,630000
7824559,1,1,1,1,0,0,1,563333.33333
7818964,1,1,1,1,0,0,1,575000
7818707,1,1,1,1,0,0,1,1428333.3333
7852204,1,1,1,1,0,1,1,460000
7902611,1,1,1,1,0,0,1,1200000
7827780,1,1,1,1,0,0,1,1050000
7881668,1,1,1,1,0,0,1,243333.33333
7833438,1,1,1,1,1,0,1,1100000
7863018,1,1,1,1,0,0,1,2890000
7830549,1,1,1,1,0,0,1,1077500
7909060,1,1,1,1,0,1,1,1820833.3333
7848849,1,1,1,1,0,0,1,730000
7791462,1,1,1,1,0,0,1,70000
7901606,1,1,1,1,0,0,1,3500000
7806067,1,1,1,1,0,0,1,2100000
7864538,1,1,1,1,0,0,1,220000
7851645,1,1,1,1,0,0,1,2435233.3333
7855658,1,1,1,1,0,0,1,100000
7865581,1,1,1,1,0,0,1,2200000
7836932,1,1,1,1,0,0,0,485000
7803393,1,1,1,1,0,0,1,280000
7906524,1,1,1,1,0,0,0,790000
7789792,1,1,1,1,0,0,1,440000
7870455,1,1,1,1,0,0,1,190000
7790890,1,1,1,1,0,0,1,2650000
7795718,1,1,1,1,0,0,1,3555000
7814572,1,1,1,1,0,0,1,208333.33333
7907338,1,1,1,1,0,0,0,1000000
7830274,1,1,1,1,0,0,1,600000
7878280,1,1,1,1,0,0,1,881666.66667
7872411,1,1,1,1,0,0,1,800000
7820220,1,1,1,1,0,0,1,2118838.6667
7909394,1,1,1,1,0,0,1,1220000
7894708,1,1,1,1,0,0,1,1000000
7813055,1,1,1,1,0,0,0,1342172
7803200,1,1,1,1,0,0,1,983333.33333
7850620,1,1,1,1,0,0,1,2080000
7805001,1,1,1,1,0,0,1,1350000
7887349,1,1,1,1,0,0,1,450000
7885301,1,1,1,1,0,0,1,500000
7822135,1,1,1,1,0,0,1,894166.66667
7862333,1,1,1,1,0,0,1,150000
7835946,1,1,1,1,0,0,0,3880000
7876782,1,1,1,1,0,1,0,3126666.6667
7790807,1,1,1,1,0,0,1,500000
7890740,1,1,1,1,0,0,0,687500
7883136,1,1,1,1,0,0,1,1420000
7840153,1,1,1,1,0,0,1,401666.66667
7861063,1,1,1,1,0,0,1,1552500
7827928,1,1,1,1,0,0,1,680000
7850190,1,1,1,1,0,0,1,383333.33333
7799022,1,1,1,1,0,0,1,480000
7871087,1,1,1,1,0,0,1,292500
7821046,1,1,1,1,0,0,1,1200000
7796690,1,1,1,1,0,0,1,640000
7893419,1,1,1,1,0,0,1,159166.66667
7796667,1,1,1,1,0,0,1,245000
7859654,1,1,1,1,0,0,1,1150000
7886611,1,1,1,1,0,0,1,550000
7872955,1,1,1,1,0,0,1,1717500
7898936,1,1,1,1,0,0,1,700000
7874885,1,1,1,1,0,0,0,80000
7833586,1,1,1,1,1,0,1,400000
7845878,1,1,1,1,0,0,1,1010000
7863223,1,1,1,1,0,1,1,1920000
7902034,1,1,1,1,0,0,1,2700000
7903866,1,1,1,1,0,0,1,2180833.3333
7833028,1,1,1,1,0,0,1,241666.66667
7805657,1,1,1,1,0,0,1,2092000
7823803,1,1,1,1,0,0,0,802500
7879897,1,1,1,1,1,0,1,880000
7844781,1,1,1,1,0,0,1,2005000
7901035,1,1,1,1,0,0,0,2166666.6667
